Fuente,Tipo,Tipo Colav,Entidad Actual,COAR Contolled Vocabularies for Repositories,Tab interface,link impactu,% sobre artículos Udea,count,Notas
scienti,1: Producción bibliográfica 1A: Traducciones 1A1: Artículo ,Artículo,works,Resource Types: journal article,productos,https://impactu.colav.co/affiliation/institution/03bp5hc83/research/products?max=10&page=1&sort=citations_desc&product_types=scienti_Art%C3%ADculo_1A1,0.61,,Extender esquema de datos: rol: traductor
scienti,1: Producción bibliográfica 1A: Traducciones 1A2: Libro ,Libro,works,Resource Types: journal article,productos,https://impactu.colav.co/affiliation/institution/03bp5hc83/research/products?max=10&page=1&sort=citations_desc&product_types=scienti_Libro_1A2,0.17,,Extender esquema de datos: isbn
scienti,1: Producción bibliográfica 1A: Traducciones 1A9: Otra ,Otro,works,,productos,https://impactu.colav.co/affiliation/institution/03bp5hc83/research/products?max=10&page=1&sort=citations_desc&product_types=scienti_Otra_1A9,0.37,,
scienti,1: Producción bibliográfica 1B: Partituras musicales 1B1: Canto ,Otro,works,,productos,https://impactu.colav.co/affiliation/institution/03bp5hc83/research/products?max=10&page=1&sort=citations_desc&product_types=scienti_Partituras+musicales_1B,,,
scienti,1: Producción bibliográfica 1B: Partituras musicales 1B2: Coral ,Otro,works,,productos,https://impactu.colav.co/affiliation/institution/03bp5hc83/research/products?max=10&page=1&sort=citations_desc&product_types=scienti_Partituras+musicales_1B,,,
scienti,1: Producción bibliográfica 1B: Partituras musicales 1B3: Orquesta ,Otro,works,,productos,https://impactu.colav.co/affiliation/institution/03bp5hc83/research/products?max=10&page=1&sort=citations_desc&product_types=scienti_Partituras+musicales_1B,,,
scienti,1: Producción bibliográfica 1B: Partituras musicales 1B9: Otro ,Otro,works,,productos,https://impactu.colav.co/affiliation/institution/03bp5hc83/research/products?max=10&page=1&sort=citations_desc&product_types=scienti_Partituras+musicales_1B,,,
scienti,1: Producción bibliográfica 1D: Documento de trabajo (Working Paper)  ,Documento de trabajo,works,Resource Types: working paper,productos,,,,Requerido por Minciencias
scienti,1: Producción bibliográfica 1K: Nota científica  ,Otro,works,,productos,https://impactu.colav.co/affiliation/institution/03bp5hc83/research/products?max=10&page=1&sort=citations_desc&product_types=scienti_Nota+cient%C3%ADfica_1K,0.25,,Prioridad OpenAlex
scienti,1: Producción bibliográfica 1Z: Otra producción bibliográfica 1Z2: Epílogo ,Otro,works,,productos,https://impactu.colav.co/affiliation/institution/03bp5hc83/research/products?max=10&page=1&sort=citations_desc&product_types=scienti_Ep%C3%ADlogo_1Z2,0.37,,Prioridad OpenAlex
scienti,1: Producción bibliográfica 1Z: Otra producción bibliográfica 1Z3: Introducción ,Otro,works,,productos,https://impactu.colav.co/affiliation/institution/03bp5hc83/research/products?max=10&page=1&sort=citations_desc&product_types=scienti_Introducci%C3%B3n_1Z3,0.19,,Prioridad OpenAlex
